ID,事件
19453529189,查看直播页面
19489678004,关闭浏览器
15633622391,修改账号头像
15618693000,修改账号头像
17708359024,关闭浏览器
15633622391,打开首页
15169974900,修改账号头像
19489678004,关闭浏览器
13034751217,关闭浏览器
15629318886,查看新闻页面
15666246899,查看直播页面
17758273557,查看新闻页面
15618693000,打开首页
15618693000,查看直播页面
13012518737,查看热榜页面
15140709944,修改账号头像
13012518737,关闭浏览器
15613515887,打开首页
13097956359,查看热榜页面
13034751217,修改账号头像
13034751217,查看热榜页面
15633622391,查看直播页面
19400153386,查看直播页面
17763369922,查看新闻页面
15666246899,修改账号头像
13091802769,查看新闻页面
15665220111,查看热榜页面
16012727969,修改账号头像
15613515887,查看新闻页面
16012727969,关闭浏览器
15169974900,查看直播页面
15665220111,修改账号头像
15613515887,打开首页
15633622391,查看热榜页面
19453529189,修改账号头像
15666246899,打开首页
15613515887,查看新闻页面
15629318886,修改账号头像
13012518737,打开首页
17781991861,查看直播页面
15613515887,查看新闻页面
17758273557,关闭浏览器
16012727969,关闭浏览器
13097956359,查看热榜页面
13034751217,查看新闻页面
17781991861,查看直播页面
13012518737,查看新闻页面
16080785928,修改账号头像
15633622391,查看新闻页面
17758273557,查看直播页面
15618693000,修改账号头像
16012727969,查看直播页面
15148056573,关闭浏览器
15629318886,修改账号头像
19453529189,查看新闻页面
15148056573,查看热榜页面
16056448162,修改账号头像
17781991861,查看热榜页面
15664023168,修改账号头像
17718756361,打开首页
13091802769,打开首页
13034751217,查看直播页面
13034751217,关闭浏览器
15664023168,修改账号头像
16073645173,查看新闻页面
15140709944,关闭浏览器
19400153386,关闭浏览器
15140709944,关闭浏览器
15666246899,修改账号头像
16056448162,查看热榜页面
19453529189,查看热榜页面
13034751217,修改账号头像
19400153386,修改账号头像
15169974900,查看直播页面
15666246899,查看热榜页面
19453529189,打开首页
15613515887,查看热榜页面
15664023168,修改账号头像
16080785928,查看直播页面
19453529189,查看热榜页面
15169974900,修改账号头像
17763369922,修改账号头像
17718756361,打开首页
17763369922,关闭浏览器
13012518737,查看热榜页面
15618693000,打开首页
19489678004,查看新闻页面
15629318886,修改账号头像
19400153386,关闭浏览器
15664023168,查看热榜页面
17758273557,查看直播页面
19453529189,查看热榜页面
13541627302,查看直播页面
17758273557,查看直播页面
17718756361,打开首页
13097956359,打开首页
13091802769,查看热榜页面
15664023168,查看新闻页面
19427444538,查看新闻页面
15169974900,查看热榜页面
15666246899,打开首页
13012518737,查看热榜页面
15694646617,关闭浏览器
13034751217,查看直播页面
15633622391,修改账号头像
17781991861,打开首页
15665220111,修改账号头像
13091802769,关闭浏览器
17758273557,打开首页
19427444538,查看热榜页面
15633622391,修改账号头像
19489678004,查看热榜页面
15629318886,查看新闻页面
15618693000,打开首页
16051706749,关闭浏览器
17708359024,打开首页
17718756361,修改账号头像
15665220111,打开首页
15169974900,修改账号头像
15618693000,查看直播页面
15694646617,查看直播页面
13012518737,打开首页
15148056573,关闭浏览器
15633622391,打开首页
13541627302,查看直播页面
19453529189,修改账号头像
16056448162,关闭浏览器
15665220111,查看新闻页面
13012518737,查看新闻页面
15140709944,修改账号头像
19489678004,关闭浏览器
15169974900,打开首页
15618693000,查看热榜页面
16056448162,查看热榜页面
19453529189,修改账号头像
17758273557,打开首页
19427444538,打开首页
15666246899,查看新闻页面
15666246899,查看热榜页面
15613515887,打开首页
17781991861,查看新闻页面
15664023168,关闭浏览器
13034751217,修改账号头像
16051706749,查看直播页面
15665220111,修改账号头像
19427444538,修改账号头像
15629318886,查看新闻页面
17781991861,打开首页
19453529189,关闭浏览器
17758273557,查看新闻页面
15665220111,打开首页
16080785928,打开首页
13034751217,打开首页
15694646617,关闭浏览器
19453529189,修改账号头像
15665220111,查看新闻页面
16056448162,查看直播页面
17781991861,查看新闻页面
16051706749,查看新闻页面
15629318886,查看直播页面
15148056573,打开首页
15169974900,修改账号头像
15665220111,修改账号头像
13091802769,查看直播页面
15629318886,修改账号头像
17708359024,查看热榜页面
13012518737,修改账号头像
16056448162,修改账号头像
15666246899,查看热榜页面
15664023168,修改账号头像
16051706749,查看热榜页面
15613515887,查看新闻页面
13541627302,查看直播页面
17781991861,关闭浏览器
15665220111,关闭浏览器
19453529189,查看热榜页面
17718756361,查看直播页面
13034751217,查看新闻页面
15618693000,打开首页
13034751217,关闭浏览器
19427444538,关闭浏览器
16012727969,查看新闻页面
15694646617,查看新闻页面
13541627302,查看新闻页面
15148056573,查看新闻页面
16056448162,修改账号头像
17763369922,打开首页
13097956359,查看新闻页面
16056448162,查看直播页面
17781991861,打开首页
15665220111,打开首页
15169974900,查看新闻页面
16080785928,关闭浏览器
15629318886,关闭浏览器
17718756361,查看直播页面
15694646617,查看新闻页面
19400153386,查看新闻页面
17708359024,查看热榜页面
13091802769,查看直播页面
19453529189,关闭浏览器
